Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 21 Enplanements,CY 20 Enplanements,% Change
681,AL,AK,MTF,Fairbanks,Metro Field,GA,None,624,395,0.5797
682,AL,AK,LKK,Kulik Lake,Kulik Lake,GA,None,619,0,0
683,AL,AK,GNU,Goodnews Bay,Goodnews,GA,None,600,296,1.027
685,AL,AK,MYU,Mekoryuk,Mekoryuk,GA,None,591,524,0.1279
686,AL,AK,WBQ,Beaver,Beaver,GA,None,590,466,0.2661
687,AL,AK,GBH,North Slope (Borough),Galbraith Lake,GA,None,585,130,3.5
689,AL,AK,TKE,Tenakee Springs,Tenakee,GA,None,562,426,0.3192
690,AL,AK,HRR,Healy,Healy River,GA,None,558,166,2.3614
693,AL,AK,SXP,Sheldon Point,Nunam Iqua,GA,None,537,405,0.3259
694,AL,AK,AKK,Akhiok,Akhiok,GA,None,529,394,0.3426
696,AL,AK,CJX,Crooked Creek,Crooked Creek,GA,None,517,257,1.0117
700,AL,AK,IGG,Igiugig,Igiugig,GA,None,482,407,0.1843
703,AL,AK,PKA,Napaskiak,Napaskiak,GA,None,472,402,0.1741
704,AL,AK,ELV,Elfin Cove,Elfin Cove,GA,None,462,190,1.4316
706,AL,AK,KVC,King Cove,King Cove,GA,None,434,998,-0.5651
710,AL,AK,7KA,Tatitlek,Tatitlek,GA,None,410,368,0.1141
711,AL,AK,GKN,Gulkana,Gulkana,GA,None,408,150,1.72
712,AL,AK,EAA,Eagle,Eagle,GA,None,407,340,0.1971
715,AL,AK,RMP,Rampart,Rampart,GA,None,400,188,1.1277
717,AL,AK,ANV,Anvik,Anvik,GA,None,391,139,1.8129
718,AL,AK,MTM,Metlakatla,Metlakatla,GA,None,389,274,0.4197
721,AL,AK,SVS,Stevens Village,Stevens Village,GA,None,354,227,0.5595
722,AL,AK,CIK,Chalkyitsik,Chalkyitsik,GA,None,346,280,0.2357
724,AL,AK,C05,Chenega,Chenega Bay,GA,None,341,33,9.3333
726,AL,AK,CLP,Clarks Point,Clarks Point,GA,None,328,269,0.2193
727,AL,AK,SLQ,Sleetmute,Sleetmute,GA,None,328,211,0.5545
732,AL,AK,KTB,Thorne Bay,Thorne Bay,GA,None,304,232,0.3103
735,AL,AK,6K8,Tok,Tok Junction,GA,None,298,277,0.0758
736,AL,AK,PNP,Pilot Point,Pilot Point,GA,None,293,377,-0.2228
739,AL,AK,KYK,Karluk,Karluk,GA,None,279,135,1.0667
743,AL,AK,9Z8,Levelock,Levelock,GA,None,255,243,0.0494
745,AL,AK,PTH,Port Heiden,Port Heiden,GA,None,250,430,-0.4186
749,AL,AK,KGX,Grayling,Grayling,GA,None,237,176,0.3466
752,AL,AK,TCT,Takotna,Takotna,GA,None,230,315,-0.2698
754,AL,AK,Z91,Birch Creek,Birch Creek,GA,None,226,217,0.0415
757,AL,AK,SRV,Stony River,Stony River 2,GA,None,209,126,0.6587
763,AL,AK,PBV,St. George,St George,GA,None,198,108,0.8333
764,AL,AK,A63,Twin Hills,Twin Hills,GA,None,197,145,0.3586
766,AL,AK,MHM,Lake Minchumina,Minchumina,GA,None,189,126,0.5
767,AL,AK,AHP,Port Alexander,Port Alexander,GA,None,188,11,16.0909
770,AL,AK,4K0,Pedro Bay,Pedro Bay,GA,None,184,458,-0.5983
771,AL,AK,AKA,Atka,Atka,GA,None,183,102,0.7941
772,AL,AK,DCK,Kobuk,Dahl Creek,GA,None,183,7,25.1429
777,AL,AK,PTU,Platinum,Platinum,GA,None,180,164,0.0976
781,AL,AK,OUL,Nelson Lagoon,Nelson Lagoon,GA,None,174,100,0.74
784,AL,AK,HCA,Holy Cross,Holy Cross,GA,None,164,266,-0.3835
785,AL,AK,HYL,Hollis,Clark Bay,GA,None,164,135,0.2148
787,AL,AK,CRC,Circle,Circle City,GA,None,163,155,0.0516
792,AL,AK,AJC,Chignik,Chignik,GA,None,151,241,-0.3734
794,AL,AK,1AK3,Cold Bay,Port Moller,GA,None,139,314,-0.5573
795,AL,AK,51Z,Minto,Minto Al Wright,GA,None,137,114,0.2018
798,AL,AK,ALZ,Lazy Bay,Alitak,GA,None,135,91,0.4835
799,AL,AK,SHX,Shageluk,Shageluk,GA,None,135,160,-0.1563
808,AL,AK,KKB,Kodiak Island (Borough),Kitoi Bay,GA,None,126,108,0.1667
809,AL,AK,KOY,Olga Bay,Olga Bay,GA,None,126,126,0
810,AL,AK,CGA,Craig,Craig,GA,None,125,204,-0.3873
816,AL,AK,RDV,Red Devil,Red Devil,GA,None,121,119,0.0168
818,AL,AK,15Z,McCarthy,McCarthy,GA,None,117,49,1.3878
819,AL,AK,FBK,Fairbanks/Ft Wainwright,Ladd AAF,GA,None,117,294,-0.602
822,AL,AK,A29,Sitka,Sitka,GA,None,111,74,0.5
828,AL,AK,EXI,Excursion Inlet,Excursion Inlet,GA,None,98,80,0.225
830,AL,AK,SKW,Skwentna,Skwentna,GA,None,92,83,0.1084
831,AL,AK,IKO,Nikolski,Nikolski AS,GA,None,90,54,0.6667
834,AL,AK,CZN,Chisana,Chisana,GA,None,86,90,-0.0444
835,AL,AK,PEV,Perryville,Perryville,GA,None,86,226,-0.6195
839,AL,AK,TPO,Port Alsworth,Port Alsworth,GA,None,82,1985,-0.9587
845,AL,AK,4Z7,Hyder,Hyder,GA,None,74,39,0.8974
851,AL,AK,MLY,Manley Hot Springs,Manley Hot Springs,GA,None,71,44,0.6136
852,AL,AK,KWP,West Point,West Point Village,GA,None,68,96,-0.2917
853,AL,AK,TLJ,Takotna,Tatalina LRRS,GA,None,68,155,-0.5613
859,AL,AK,CZF,Cape Romanzof,Cape Romanzof LRRS,GA,None,65,19,2.4211
866,AL,AK,9A3,Chuathbaluk,Chuathbaluk,GA,None,60,127,-0.5276
867,AL,AK,BNF,Kake,Baranof Warm Springs Float and Seaplane Float,GA,None,60,0,0
870,AL,AK,KFP,False Pass,False Pass,GA,None,59,241,-0.7552
879,AL,AK,AK81,Amook Bay,Amook Bay,GA,None,54,56,-0.0357
881,AL,AK,KCC,Coffman Cove,Coffman Cove,GA,None,54,32,0.6875
888,AL,AK,UMT,Umiat,Umiat,GA,None,52,66,-0.2121
889,AL,AK,KMY,Moser Bay,Moser Bay,GA,None,51,47,0.0851
894,AL,AK,Z78,Chignik,Chignik Bay,GA,None,50,30,0.6667
897,AL,AK,KCL,Chignik Lagoon,Chignik Lagoon,GA,None,49,154,-0.6818
900,AL,AK,19P,Port Protection,Port Protection,GA,None,47,16,1.9375
908,AL,AK,2AK,Lime Village,Lime Village,GA,None,44,78,-0.4359
915,AL,AK,WSN,South Naknek,South Naknek Nr 2,GA,None,40,52,-0.2308
924,AL,AK,JLA,Cooper Landing,Quartz Creek,GA,None,36,7,4.1429
931,AL,AK,TNC,Tin City,Tin City LRRS,GA,None,35,37,-0.0541
946,AL,AK,9A8,Ugashik,Ugashik,GA,None,32,75,-0.5733
950,AL,AK,WSJ,San Juan,San Juan /Uganik/,GA,None,31,59,-0.4746
951,AL,AK,CKX,Chicken,Chicken,GA,None,30,40,-0.25
959,AL,AK,KWF,Waterfall,Waterfall,GA,None,29,79,-0.6329
962,AL,AK,5NK,Naknek,Naknek,GA,None,28,55,-0.4909
975,AL,AK,CEM,Central,Central,GA,None,25,15,0.6667
977,AL,AK,EHM,Cape Newenham,Cape Newenham LRRS,GA,None,25,13,0.9231
979,AL,AK,KKL,Karluk Lake,Karluk Lake,GA,None,25,18,0.3889
982,AL,AK,ENN,Nenana,Nenana Municipal,GA,None,24,0,0
983,AL,AK,KPR,Port Williams,Port Williams,GA,None,24,62,-0.6129
1014,AL,AK,MYK,May Creek,May Creek,GA,None,18,22,-0.1818
1019,AL,AK,KPY,Port Bailey,Port Bailey,GA,None,17,68,-0.75
1022,AL,AK,LUR,Cape Lisburne,Cape Lisburne LRRS,GA,None,16,74,-0.7838
1031,AL,AK,SXQ,Soldotna,Soldotna,GA,None,15,9,0.6667
1032,AL,AK,TSG,Tanacross,Tanacross,GA,None,15,0,0
1033,AL,AK,UTO,Utopia Creek,Indian Mountain LRRS,GA,None,15,1,14
1035,AL,AK,WCR,Chandalar,Chandalar Lake,GA,None,15,29,-0.4828
1036,AL,AK,0AA4,Farewell,Farewell,GA,None,14,60,-0.7667
1045,AL,AK,SWD,Seward,Seward,GA,None,14,21,-0.3333
1048,AL,AK,96Z,North Whale Pass,Whale Pass Seaplane Float Harbor Facility,GA,None,13,12,0.0833
1061,AL,AK,ZNC,Nyac,Nyac,GA,None,12,8,0.5
1086,AL,AK,KPB,Point Baker,Point Baker,GA,None,9,14,-0.3571
1087,AL,AK,KXA,Kasaan,Kasaan,GA,None,9,3,2
1104,AL,AK,FLT,Flat,Flat,GA,None,8,5,0.6
1113,AL,AK,MDO,Middleton Island,Middleton Island,GA,None,8,0,0
1123,AL,AK,01A,Purkeypile,Purkeypile,GA,None,7,10,-0.3
1140,AL,AK,AK40,McGrath,Nixon Fork Mine,GA,None,6,0,0
1143,AL,AK,CXC,Chitina,Chitina,GA,None,6,0,0
1171,AL,AK,HYG,Hydaburg,Hydaburg,GA,None,5,6,-0.1667
1180,AL,AK,84K,Meyers Chuck,Meyers Chuck,GA,None,4,3,0.3333
1204,AL,AK,SVW,Sparrevohn,Sparrevohn LRRS,GA,None,4,31,-0.871
1216,AL,AK,AK75,Candle,Candle 2,GA,None,3,0,0
1217,AL,AK,AQY,Girdwood,Girdwood,GA,None,3,0,0
1232,AL,AK,KKI,Akiachak,Akiachak,GA,None,3,20,-0.85
1241,AL,AK,Z17,Ophir,Ophir,GA,None,3,3,0
1244,AL,AK,2AK5,Hinchinbrook,Johnstone Point,GA,None,2,0,0
1247,AL,AK,4AK8,Napaimute,Napaimute Pioneer Airfield,GA,None,2,0,0
1248,AL,AK,5AK0,Trading Bay,Trading Bay Production,GA,None,2,2,0
1251,AL,AK,ATM,Taylor Mountain Mine,Taylor Mountain,GA,None,2,0,0
1257,AL,AK,CKU,Cordova,Cordova Municipal,GA,None,2,2,0
1270,AL,AK,KPC,Port Clarence,Port Clarence CGS,GA,None,2,7,-0.7143
1298,AL,AK,57A,Tokeen,Tokeen,GA,None,1,17,-0.9412
1299,AL,AK,76AK,Delta Junction,Pogo Mine Airstrip,GA,None,1,0,0
1300,AL,AK,A79,Chignik Lake,Chignik Lake,GA,None,1,113,-0.9912
1314,AL,AK,PAQ,Palmer,"Warren ""Bud"" Woods Palmer Municipal",GA,None,1,7,-0.8571
82,SO,AL,BHM,Birmingham,Birmingham-Shuttlesworth International,P,S,1081328,622789,0.7363
124,SO,AL,HSV,Huntsville,Huntsville International-Carl T Jones Field,P,S,459759,268790,0.7105
165,SO,AL,MOB,Mobile,Mobile Regional,P,N,236007,154993,0.5227
202,SO,AL,MGM,Montgomery,Montgomery Regional (Dannelly Field),P,N,129033,85498,0.5092
281,SO,AL,DHN,Dothan,Dothan Regional,P,N,37047,23968,0.5457
435,SO,AL,MSL,Muscle Shoals,Northwest Alabama Regional,CS,None,6614,3508,0.8854
502,SO,AL,TCL,Tuscaloosa,Tuscaloosa Ntl,GA,None,3154,2314,0.363
532,SO,AL,BFM,Mobile,Mobile International,GA,None,2191,5939,-0.6311
744,SO,AL,ANB,Anniston,Anniston Regional,GA,None,254,137,0.854
760,SO,AL,AUO,Auburn,Auburn University Regional,GA,None,204,7,28.1429
786,SO,AL,MXF,Montgomery,Maxwell AFB,GA,None,164,0,0
912,SO,AL,JKA,Gulf Shores,Gulf Shores International/Jack Edwards Field,GA,None,41,0,0
921,SO,AL,09A,Butler,Butler/Choctaw County,GA,None,37,70,-0.4714
97,SW,AR,LIT,Little Rock,Bill and Hillary Clinton Ntl/Adams Field,P,S,827922,469380,0.7639
108,SW,AR,XNA,Bentonville,Northwest Arkansas Ntl,P,S,598787,346215,0.7295
269,SW,AR,FSM,Fort Smith,Fort Smith Regional,P,N,45369,36864,0.2307
303,SW,AR,TXK,Texarkana,Texarkana Regional-Webb Field,P,N,26888,17340,0.5506
459,SW,AR,HRO,Harrison,Boone County,CS,None,4761,3493,0.363
465,SW,AR,HOT,Hot Springs,Memorial Field,CS,None,4388,3023,0.4515
475,SW,AR,JBR,Jonesboro,Jonesboro Municipal,CS,None,4041,2605,0.5512
505,SW,AR,ELD,El Dorado,South Arkansas Regional at Goodwin Field,CS,None,3078,2427,0.2682
602,SW,AR,FYV,Fayetteville,Drake Field,GA,None,1306,765,0.7072
759,SW,AR,LRF,Jacksonville,Little Rock AFB,GA,None,205,141,0.4539
861,SW,AR,ROG,Rogers,Rogers Exec - Carter Field,GA,None,64,4,15
1054,SW,AR,SGT,Ulm,Stuttgart Municipal Carl Humphrey Field,GA,None,13,18,-0.2778
1059,SW,AR,SRC,Searcy,Searcy Municipal,GA,None,12,0,0
1185,SW,AR,BYH,Blytheville,Arkansas International,GA,None,4,0,0
418,WP,AS,PPG,Pago Pago,Pago Pago International,CS,None,8000,12563,-0.3632
556,WP,AS,FAQ,Fitiuta,Fitiuta,GA,None,1828,1780,0.027
753,WP,AS,Z08,Ofu Village,Ofu,GA,None,226,954,-0.7631
9,WP,AZ,PHX,Phoenix,Phoenix Sky Harbor International,P,L,18940287,10531436,0.7985
77,WP,AZ,TUS,Tucson,Tucson International,P,S,1323536,823465,0.6073
98,WP,AZ,IWA,Mesa,Phoenix-Mesa Gateway,P,S,795407,597843,0.3305
208,WP,AZ,FLG,- Flagstaff,Flagstaff Pulliam,P,N,115596,61158,0.8901
210,WP,AZ,NYL,Yuma,Yuma MCAS/Yuma International,P,N,110182,57930,0.902
316,WP,AZ,PRC,Prescott,Prescott Regional - Ernest A Love Field,P,N,23598,13029,0.8112
360,WP,AZ,PGA,Page,Page Municipal,P,N,14340,8915,0.6085
233,WP,AZ,GCN,Grand Canyon,Grand Canyon Ntl Park,GA,None,75129,39747,0.8902
262,WP,AZ,IFP,Bullhead City,Laughlin/Bullhead International,GA,None,50814,58195,-0.1268
334,WP,AZ,1G4,Peach Springs,Grand Canyon West,GA,None,18498,5366,2.4473
409,WP,AZ,1Z1,Whitmore,Grand Canyon Bar Ten Airstrip,GA,None,8816,3707,1.3782
461,WP,AZ,SOW,Show Low,Show Low Regional,CS,None,4570,3716,0.2298
573,WP,AZ,DMA,Tucson,Davis Monthan AFB,GA,None,1653,847,0.9516
691,WP,AZ,SDL,Scottsdale,Scottsdale,GA,None,549,257,1.1362
728,WP,AZ,FHU,Fort Huachuca,Sierra Vista Municipal-Libby AAF,GA,None,325,1079,-0.6988
790,WP,AZ,CHD,Chandler,Chandler Municipal,GA,None,159,468,-0.6603
824,WP,AZ,AZC,Colorado City,Colorado City Municipal,GA,None,109,0,0
843,WP,AZ,L41,Marble Canyon,Marble Canyon,GA,None,77,42,0.8333
891,WP,AZ,CFT,Clifton,Greenlee County,GA,None,50,10,4
918,WP,AZ,L37,Peach Springs,Grand Canyon Caverns,GA,None,38,24,0.5833
935,WP,AZ,DVT,Phoenix,Phoenix Deer Valley,GA,None,34,3,10.3333
941,WP,AZ,GEU,Glendale,Glendale Municipal,GA,None,33,0,0
966,WP,AZ,SEZ,Sedona,Sedona,GA,None,28,11,1.5455
968,WP,AZ,AVQ,Marana,Marana Regional,GA,None,27,0,0
988,WP,AZ,HII,Lake Havasu City,Lake Havasu City,GA,None,23,12,0.9167
989,WP,AZ,IGM,Kingman,Kingman,GA,None,23,0,0
1037,WP,AZ,CGZ,Casa Grande,Casa Grande Municipal,GA,None,14,2,6
1065,WP,AZ,GYR,Goodyear,Phoenix Goodyear,GA,None,11,0,0
1082,WP,AZ,CMR,Williams,H A Clark Memorial Field,GA,None,9,0,0
1144,WP,AZ,E25,Wickenburg,Wickenburg Municipal,GA,None,6,1,5
1197,WP,AZ,MZJ,Pinal (County),Pinal Airpark,GA,None,4,2,1
5,WP,CA,LAX,Los Angeles,Los Angeles International,P,L,23663410,14055777,0.6835
17,WP,CA,SFO,San Francisco ,San Francisco International,P,L,11725347,7745057,0.5139
24,WP,CA,SAN,San Diego,San Diego International,P,L,7836360,4637856,0.6897
37,WP,CA,SMF,Sacramento,Sacramento International,P,M,4760275,2710342,0.7563
41,WP,CA,OAK,Oakland,Metro Oakland International,P,M,4011953,2271294,0.7664
42,WP,CA,SNA,Santa Ana,John Wayne/Orange County,P,M,3807205,1824836,1.0863
45,WP,CA,SJC,San Jose,Norman Y Mineta San Jose International,P,M,3619690,2283186,0.5854
56,WP,CA,ONT,Ontario,Ontario International,P,M,2201528,1237946,0.7784
59,WP,CA,BUR,Burbank,Bob Hope,P,M,1942417,1056838,0.838
84,WP,CA,PSP,Palm Springs,Palm Springs International,P,S,1044045,632282,0.6512
86,WP,CA,LGB,Long Beach,Long Beach (Daugherty Field),P,S,1039432,504478,1.0604
92,WP,CA,FAT,Fresno,Fresno Yosemite International,P,S,960594,486081,0.9762
126,WP,CA,SBA,Santa Barbara,Santa Barbara Municipal,P,S,440229,193738,1.2723
169,WP,CA,STS,Santa Rosa,Charles M Schulz - Sonoma County,P,N,216059,94288,1.2915
175,WP,CA,SBP,San Luis Obispo,San Luis County Regional,P,N,200634,130928,0.5324
178,WP,CA,MRY,Monterey,Monterey Regional,P,N,188658,86795,1.1736
201,WP,CA,BFL,Bakersfield,Meadows Field,P,N,131327,83933,0.5647
219,WP,CA,ACV,Arcata,California Redwood Coast-Humboldt County,P,N,94652,37979,1.4922
239,WP,CA,SCK,Stockton,Stockton Metro,P,N,69235,44386,0.5598
254,WP,CA,RDD,Redding,Redding Municipal,P,N,58295,19270,2.0252
301,WP,CA,SMX,Santa Maria,Santa Maria Public/Capt G Allan Hancock Field,P,N,27916,10745,1.598
278,WP,CA,RIV,Riverside,March ARB,GA,None,37794,36190,0.0443
420,WP,CA,CEC,Crescent City,Jack McNamara Field,CS,None,7743,4022,0.9252
430,WP,CA,VNY,Van Nuys,Van Nuys,GA,None,7001,1647,3.2508
438,WP,CA,CCR,Concord,Buchanan Field,GA,None,6518,6094,0.0696
450,WP,CA,MCE,Merced,Merced Regional/Macready Field,CS,None,5301,4499,0.1783
453,WP,CA,IPL,Imperial,Imperial County,CS,None,5181,2716,0.9076
469,WP,CA,SQL,San Carlos,San Carlos,CS,None,4257,2854,0.4916
490,WP,CA,HHR,Hawthorne,Jack Northrop Field/Hawthorne Municipal,CS,None,3483,2713,0.2838
540,WP,CA,SUU,Fairfield,Travis AFB,GA,None,2051,1675,0.2245
601,WP,CA,CRQ,Carlsbad,McClellan-Palomar,GA,None,1313,537,1.4451
604,WP,CA,TRK,Truckee,Truckee-Tahoe,GA,None,1296,793,0.6343
615,WP,CA,BIH,Bishop,Bishop,GA,None,1188,19,61.5263
643,WP,CA,SBD,San Bernardino,San Bernardino International,GA,None,906,33,26.4545
650,WP,CA,VCV,Victorville,Southern California Logistics,GA,None,824,1683,-0.5104
659,WP,CA,NKX,San Diego,Miramar MCAS (Joe Foss Field),GA,None,749,1322,-0.4334
666,WP,CA,NJK,El Centro,El Centro NAF (Vraciu Field),GA,None,713,617,0.1556
673,WP,CA,NTD,Point Mugu,Point Mugu NAS,GA,None,667,763,-0.1258
705,WP,CA,MMH,Mammoth Lakes,Mammoth Yosemite,GA,None,462,8314,-0.9444
708,WP,CA,MHR,Sacramento,Sacramento Mather,GA,None,420,0,0
716,WP,CA,APC,Napa,Napa County,GA,None,399,168,1.375
720,WP,CA,NZY,San Diego,North Island NAS (Halsey Field),GA,None,364,625,-0.4176
725,WP,CA,SDM,San Diego,Brown Field Municipal,GA,None,337,75,3.4933
738,WP,CA,NUQ,Mountain View,Moffett Federal Airfield,GA,None,287,70,3.1
800,WP,CA,CMA,Camarillo,Camarillo,GA,None,134,49,1.7347
801,WP,CA,TRM,Palm Springs,Jacqueline Cochran Regional,GA,None,133,46,1.8913
803,WP,CA,LVK,Livermore,Livermore Municipal,GA,None,130,5,25
821,WP,CA,VBG,Lompoc,Vandenberg Space Force Base,GA,None,114,75,0.52
827,WP,CA,MYF,San Diego,Montgomery-Gibbs Exec,GA,None,99,7,13.1429
842,WP,CA,SEE,San Diego,Gillespie Field,GA,None,78,10,6.8
844,WP,CA,UDD,Palm Springs,Bermuda Dunes,GA,None,77,1,76
849,WP,CA,HWD,Hayward,Hayward Exec,GA,None,71,26,1.7308
856,WP,CA,SMO,Santa Monica,Santa Monica Municipal,GA,None,66,20,2.3
857,WP,CA,TVL,South Lake Tahoe,Lake Tahoe,GA,None,66,69,-0.0435
871,WP,CA,SAC,Sacramento,Sacramento Exec,GA,None,57,39,0.4615
876,WP,CA,F70,Riverside (County),French Valley,GA,None,55,2,26.5
882,WP,CA,PRB,Paso Robles,Paso Robles Municipal,GA,None,54,5,9.8
892,WP,CA,HJO,Hanford,Hanford Municipal,GA,None,50,0,0
898,WP,CA,DVO,Novato,Gnoss Field,GA,None,48,0,0
901,WP,CA,IZA,Santa Ynez,Santa Ynez,GA,None,47,0,0
909,WP,CA,MCC,Sacramento,McClellan Airfield,GA,None,44,19,1.3158
938,WP,CA,GOO,Grass Valley,Nevada County,GA,None,34,16,1.125
980,WP,CA,NID,China Lake (Naval Weapons Center),China Lake NAWS (Armitage Field),GA,None,25,89,-0.7191
985,WP,CA,CXL,Calexico,Calexico International,GA,None,23,22,0.0455
1003,WP,CA,MOD,Modesto,Modesto City-County-Harry Sham Field,GA,None,20,112,-0.8214
1015,WP,CA,VIS,Visalia,Visalia Municipal,GA,None,18,7,1.5714
1023,WP,CA,O88,Rio Vista,Rio Vista Municipal,GA,None,16,0,0
1030,WP,CA,OXR,Oxnard,Oxnard,GA,None,15,13,0.1538
1044,WP,CA,PAO,Palo Alto,Palo Alto,GA,None,14,8,0.75
1052,WP,CA,L70,Agua Dulce,Agua Dulce,GA,None,13,0,0
1067,WP,CA,O89,Fall River Mills,Fall River Mills,GA,None,11,0,0
1073,WP,CA,CSL,Camp San Luis Obispo,O'Sullivan AHP,GA,None,10,0,0
1075,WP,CA,LHM,Lincoln,Lincoln Regional/Karl Harder Field,GA,None,10,0,0
1083,WP,CA,CNO,Chino,Chino,GA,None,9,0,0
1084,WP,CA,E45,Groveland,Pine Mountain Lake,GA,None,9,0,0
1092,WP,CA,O22,Columbia,Columbia,GA,None,9,0,0
1097,WP,CA,99CL,El Mirage,El Mirage Field Adelanto,GA,None,8,0,0
1100,WP,CA,CN64,Desert Center,Desert Center,GA,None,8,0,0
1116,WP,CA,SNS,Salinas,Salinas Municipal,GA,None,8,19,-0.5789
1121,WP,CA,WVI,Watsonville,Watsonville Municipal,GA,None,8,1,7
1127,WP,CA,CVH,Hollister,Hollister Municipal,GA,None,7,0,0
1147,WP,CA,MER,Atwater,Castle,GA,None,6,0,0
1152,WP,CA,WHP,Los Angeles,Whiteman,GA,None,6,0,0
1165,WP,CA,FUL,Fullerton,Fullerton Municipal,GA,None,5,1,4
1199,WP,CA,RAL,Riverside,Riverside Municipal,GA,None,4,0,0
1200,WP,CA,REI,Redlands,Redlands Municipal,GA,None,4,0,0
1206,WP,CA,TOA,Torrance,Zamperini Field,GA,None,4,8,-0.5
1208,WP,CA,VCB,Vacaville,Nut Tree,GA,None,4,6,-0.3333
1219,WP,CA,AVX,Avalon,Catalina,GA,None,3,0,0
1230,WP,CA,HES,Healdsburg,Healdsburg Municipal,GA,None,3,0,0
1234,WP,CA,O26,Lone Pine,Lone Pine/Death Valley,GA,None,3,0,0
1235,WP,CA,OKB,Oceanside,Bob Maxwell Memorial Airfield,GA,None,3,0,0
1249,WP,CA,A26,Adin,Adin,GA,None,2,0,0
1252,WP,CA,AUN,Auburn,Auburn Municipal,GA,None,2,1,1
1259,WP,CA,DAG,Daggett,Barstow-Daggett,GA,None,2,0,0
1271,WP,CA,L72,Inyo (County),Trona,GA,None,2,0,0
1276,WP,CA,MPI,Mariposa,Mariposa-Yosemite,GA,None,2,1,1
1279,WP,CA,O69,Petaluma,Petaluma Municipal,GA,None,2,0,0
1285,WP,CA,PTV,Porterville,Porterville Municipal,GA,None,2,0,0
1293,WP,CA,UKI,Ukiah,Ukiah Municipal,GA,None,2,0,0
1297,WP,CA,1O5,Montague,Montague-Yreka Rohrer Field,GA,None,1,0,0
1312,WP,CA,MYV,Marysville,Yuba County,GA,None,1,0,0
3,NM,CO,DEN,Denver,Denver International,P,L,28645527,16243216,0.7635
93,NM,CO,COS,Colorado Springs,City of Colorado Springs Municipal,P,S,941917,364178,1.5864
156,NM,CO,GJT,Grand Junction,Grand Junction Regional,P,N,252290,139140,0.8132
158,NM,CO,ASE,Aspen,Aspen-Pitkin County/Sardy Field,P,N,248781,183883,0.3529
174,NM,CO,EGE,Eagle,Eagle County Regional,P,N,201752,143124,0.4096
177,NM,CO,DRO,Durango,Durango-La Plata County,P,N,200245,99445,1.0136
180,NM,CO,MTJ,Montrose,Montrose Regional,P,N,188355,100887,0.867
193,NM,CO,HDN,Hayden,Yampa Valley,P,N,150142,87902,0.7081
276,NM,CO,GUC,Gunnison,Gunnison-Crested Butte Regional,P,N,38783,28862,0.3437
385,NM,CO,ALS,Alamosa,San Luis Valley Regional/Bergman Field,P,N,11987,4742,1.5278
400,NM,CO,PUB,Pueblo,Pueblo Memorial,CS,None,9624,5384,0.7875
433,NM,CO,TEX,Telluride,Telluride Regional,CS,None,6691,3743,0.7876
442,NM,CO,CEZ,Cortez,Cortez Municipal,CS,None,6195,5603,0.1057
451,NM,CO,FNL,Loveland,Northern Colorado Regional,CS,None,5248,1112,3.7194
671,NM,CO,BJC,Broomfield,Rocky Mountain Metro,GA,None,670,105,5.381
698,NM,CO,APA,Englewood,Centennial,GA,None,496,125,2.968
748,NM,CO,BKF,Aurora,Buckley Space Force Base,GA,None,244,0,0
782,NM,CO,RIL,Rifle,Rifle Garfield County,GA,None,169,113,0.4956
1027,NM,CO,EEO,Meeker,Meeker Coulter Field,GA,None,15,0,0
1055,NM,CO,TAD,Trinidad,Perry Stokes,GA,None,13,0,0
1096,NM,CO,20V,Kremmling,Mc Elroy Airfield,GA,None,8,0,0
1284,NM,CO,PSO,Pagosa Springs,Stevens Field,GA,None,2,16,-0.875
54,NE,CT,BDL,Windsor Locks,Bradley International,P,M,2273259,1150033,0.9767
297,NE,CT,HVN,New Haven,Tweed/New Haven,P,N,29732,11432,1.6008
780,NE,CT,OXC,Oxford,Waterbury-Oxford,GA,None,177,65,1.7231
848,NE,CT,GON,Groton,Groton-New London,GA,None,72,36,1
864,NE,CT,BDR,Bridgeport,Bridgeport/Sikorsky,GA,None,61,20,2.05
986,NE,CT,DXR,Danbury,Danbury Municipal,GA,None,23,28,-0.1786
1107,NE,CT,HFD,Hartford,Hartford-Brainard,GA,None,8,21,-0.619
380,EA,DE,ILG,Wilmington,New Castle,P,N,12476,626,18.9297
723,EA,DE,DOV,Dover,Dover AFB,GA,None,343,493,-0.3043
1168,EA,DE,GED,Georgetown,Delaware Coastal,GA,None,5,14,-0.6429
7,SO,FL,MCO,Orlando,Orlando International,P,L,19618838,10467728,0.8742
10,SO,FL,MIA,Miami,Miami International,P,L,17500096,8786007,0.9918
15,SO,FL,FLL,Fort Lauderdale,Fort Lauderdale/Hollywood International,P,L,13598994,8015744,0.6965
23,SO,FL,TPA,Tampa,Tampa International,P,L,8847197,4966775,0.7813
35,SO,FL,RSW,Fort Myers,Southwest Florida International,P,M,5080805,2947139,0.724
52,SO,FL,PBI,West Palm Beach,Palm Beach International,P,M,2567897,1518732,0.6908
53,SO,FL,JAX,Jacksonville,Jacksonville International,P,M,2425685,1367501,0.7738
70,SO,FL,SRQ,Sarasota,Sarasota/Bradenton International,P,S,1574063,615337,1.5581
78,SO,FL,SFB,Sanford,Orlando Sanford International,P,S,1174471,759301,0.5468
79,SO,FL,PNS,Pensacola,Pensacola International,P,S,1168575,577431,1.0237
