Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 21 Enplanements,CY 20 Enplanements,% Change
1134,EA,VA,JGG,Williamsburg,Williamsburg-Jamestown,GA,None,7,3,1.3333
1194,EA,VA,MFV,Melfa,Accomack County,GA,None,4,0,0
1224,EA,VA,DAN,Danville,Danville Regional,GA,None,3,2,0.5
1273,EA,VA,LNP,Wise,Lonesome Pine,GA,None,2,0,0
103,SO,VI,STT,Charlotte Amalie,Cyril E King,P,S,731693,355238,1.0597
167,SO,VI,STX,Christiansted,Henry E Rohlsen,P,N,218795,127985,0.7095
352,SO,VI,VI32,Christiansted St Croix,Christiansted Harbor-SSB,GA,None,15490,9674,0.6012
355,SO,VI,VI22,Charlotte Amalie,Charlotte Amalie Harbor,GA,None,15038,9516,0.5803
135,NE,VT,BTV,Burlington,Burlington International,P,S,382744,200182,0.912
463,NE,VT,RUT,Rutland,Rutland - Southern Vermont Regional,CS,None,4531,2085,1.1731
885,NE,VT,MVL,Morrisville,Morrisville-Stowe State,GA,None,53,141,-0.6241
992,NE,VT,VSF,Springfield,Hartness State (Springfield),GA,None,23,0,0
1047,NE,VT,6B0,Middlebury,Middlebury State,GA,None,13,0,0
1148,NE,VT,MPV,Barre,Edward F Knapp State,GA,None,6,4,0.5
1158,NE,VT,DDH,Bennington,William H Morse State,GA,None,5,2,1.5
11,NM,WA,SEA,Seattle,Seattle-Tacoma International,P,L,17430195,9462411,0.842
68,NM,WA,GEG,Spokane,Spokane International,P,S,1586110,913291,0.7367
142,NM,WA,PSC,Pasco,Tri-Cities,P,S,347438,190322,0.8255
187,NM,WA,BLI,Bellingham,Bellingham International,P,N,160160,98256,0.63
209,NM,WA,PAE,Everett,Snohomish County (Paine Field),P,N,114988,118204,-0.0272
259,NM,WA,PUW,Pullman,Pullman/Moscow Regional,P,N,54473,32300,0.6865
263,NM,WA,EAT,East Wenatchee,Pangborn Memorial,P,N,48344,27009,0.7899
265,NM,WA,YKM,Yakima,Yakima Air Trml/McAllister Field,P,N,46658,31050,0.5027
275,NM,WA,ALW,Walla Walla,Walla Walla Regional,P,N,39138,18580,1.1065
337,NM,WA,BFI,Seattle,Boeing Field/King County International,P,N,17774,14761,0.2041
365,NM,WA,FHR,Friday Harbor,Friday Harbor,P,N,14054,6720,1.0914
398,NM,WA,ORS,Eastsound,Orcas Island,P,N,10138,4595,1.2063
336,NM,WA,S60,Kenmore,Kenmore Air Harbor Inc,GA,None,18067,996,17.1396
